交易品种,交易代码,WINDCODE,上市时间,主力合约
豆一,A,A.DCE,2002-03-15,1月5月9月
银,AG,AG.SHF,2012-05-10,6月12月
铝,AL,AL.SHF,1992-05-28,每月
苹果,AP,AP.CAC,2017-12-22,1月5月10月
黄金,AU,AU.SHF,2008-01-09,6月12月
豆二,B,B.DCE,2004-12-22,1月5月9月*
胶合板,BB,BB.DCE,2013-12-06,*
沥青,BU,BU.SHF,2013-10-09,6月12月
玉米,C,C.DCE,2004-09-22,1月5月9月
棉花,CF,CF.CZC,2004-06-01,1月5月9月
玉米淀粉,CS,CS.DCE,2014-12-19,1月5月9月
铜,CU,CU.SHF,1993-03-21,每月
棉纱,CY,CY.CZC,2017-08-08,*
乙二醇,EG,EG.DCE,2018-12-10,*
纤维板,FB,FB.DCE,2013-12-06,
玻璃,FG,FG.CZC,2012-12-03,
燃油,FU,FU.SHF,2004-08-25,
热轧卷板,HC,HC.SHF,2012-12-28,1月5月10月
铁矿石,I,I.DCE,2013-10-18,1月5月9月
焦炭,J,J.DCE,2011-04-15,
鸡蛋,JD,JD.DCE,2013-11-08,
焦煤,JM,JM.DCE,2013-03-22,
粳稻,JR,JR.CZC,2013-11-18,
塑料,L,L.DCE,2007-07-31,
晚籼稻,LR,LR.CZC,2014-07-08,
豆粕,M,M.DCE,2000-07-17,
甲醇,MA,MA.CZC,2011-10-28,
镍,NI,NI.SHF,2015-03-27,
菜油,OI,OI.CZC,2007-06-08,
棕榈油,P,P.DCE,2007-10-29,
普麦,PM,PM.CZC,2008-03-24,
聚丙烯,PP,PP.DCE,2014-02-28,
早籼稻,RI,RI.CZC,2009-04-20,
菜籽,RS,RS.CZC,2012-12-28,
橡胶,RU,RU.SHF,1995-01-15,1月5月9月
螺纹钢,RB,RB.SHF,2009-03-27,1月5月10月
菜粕,RM,RM.CZC,2012-12-28,
原油,SC,SC.INE,2018-03-26,
硅铁,SF,SF.CZC,2014-08-08,
锰硅,SM,SM.CZC,2014-08-08,
锡,SN,SN.SHF,2015-03-27',
纸浆,SP,SP.SHF,2018-11-27,
白糖,SR,SR.CZC,2006-01-06,
PTA,TA,TA.CZC,2006-12-18,
PVC,V.V.DCE,2009-05-25,1月5月9月
强麦,WH,WH.CZC,2003-03-28,
线材,WR,WR.SHF,2009-03-27,
豆油,Y,Y.DCE,2006-01-09,
动力煤,ZC,ZC.CZC,2013-09-26,
锌,ZN,ZN.SHF,2007-03-26,

  
 

